Strategy,Price_Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Total Value % Increase,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 28 days,High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,27.0926,3572.3504,-64.2765,-6427.6496,-96.7461,-71.2245,-66.6573,25.5216,13,30.0,-494.4346,-5.1275,-0.508,-0.508,278.36
DCA every 1.0 hour,High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.7658,7626.3783,-23.7362,-2373.6217,-97.3092,-127.7814,-108.9552,-30.4722,1910,30.0,-1.2427,-0.057,-0.4306,-0.5717,633.59
DCA every 1 day,High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.7698,7634.5567,-23.6544,-2365.4433,-97.7026,-127.8453,-108.5798,-30.1427,80,30.0,-29.568,-1.3572,-0.4337,-0.5754,633.59
DCA every 7 days,High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.7972,7689.99,-23.1001,-2310.01,-99.1909,-126.7061,-106.0352,-27.5152,12,30.0,-192.5008,-8.8363,-0.4495,-0.5852,633.59
DCA every 14 days,High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.68,7452.6438,-25.4736,-2547.3562,-102.3972,-133.2614,-116.93,-30.8642,6,30.0,-424.5594,-19.4883,-0.4616,-0.6037,633.59
DCA every 28 days,High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.8214,7738.9371,-22.6106,-2261.0629,-73.0462,-104.9816,-103.7884,-31.9354,3,30.0,-753.6876,-34.5961,-0.3445,-0.439,633.59
DCA every 1.0 hour,High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.4835,103969.3263,939.6933,93969.3263,-17.6857,-19.6444,284.4424,-1.9587,28960,30.0,3.2448,0.0098,-0.1655,-0.1633,503.92
DCA every 1 day,High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.5068,104048.8671,940.4887,94048.8671,-17.6283,-19.6219,284.6831,-1.9936,1207,30.0,77.9195,0.2359,-0.1651,-0.1629,503.92
DCA every 7 days,High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.4162,103739.8444,937.3984,93739.8444,-17.7091,-19.6361,283.7477,-1.927,173,30.0,541.8488,1.6402,-0.1659,-0.1636,503.92
DCA every 14 days,High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.2224,103078.8199,930.7882,93078.8199,-17.708,-19.6339,281.7468,-1.9259,87,30.0,1069.8715,3.2385,-0.1662,-0.1637,503.92
DCA every 28 days,High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.1398,102797.0769,927.9708,92797.0769,-17.2473,-19.1889,280.894,-1.9416,44,30.0,2109.0245,6.384,-0.1627,-0.1601,503.92
DCA every 1.0 hour,High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.1531,11719.0671,17.1907,1719.0671,2.9668,26.953,25.9581,23.9861,5806,30.0,0.2961,0.0045,-0.0002,-0.0002,823.2
DCA every 1 day,High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.1547,11724.6784,17.2468,1724.6784,3.0137,27.0384,26.0429,24.0247,242,30.0,7.1268,0.1076,0.0001,0.0001,823.2
